# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/32.mdl - |" "ark:gunzip -c exp/mono/fsts.1.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split1/1/utt2spk scp:data/train/split1/1/cmvn.scp scp:data/train/split1/1/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.1.gz" 
# Started at Mon Oct  1 02:14:52 CST 2018
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/32.mdl - |' 'ark:gunzip -c exp/mono/fsts.1.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split1/1/utt2spk scp:data/train/split1/1/cmvn.scp scp:data/train/split1/1/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.1.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/32.mdl - 
WARNING (gmm-boost-silence[5.5.49~4-396c7]:main():gmm-boost-silence.cc:82) The pdfs for the silence phones may be shared by other phones (note: this probably does not matter.)
LOG (gmm-boost-silence[5.5.49~4-396c7]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.49~4-396c7]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split1/1/utt2spk scp:data/train/split1/1/cmvn.scp scp:data/train/split1/1/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_040
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_089
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_104
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_231
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_327
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_413
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_462
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_468
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_470
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Allen_560
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_012
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_117
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_123
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_171
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_217
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_234
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_341
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_345
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_457
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Ben_757
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_013
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_140
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_214
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_325
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_458
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_546
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_632
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_678
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_876
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Carl_894
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_032
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_156
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_216
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_265
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_519
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_657
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_785
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_847
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_947
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Dan_987
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_102
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_120
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_231
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_241
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_411
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_620
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_641
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_732
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_784
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Eddy_897
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_010
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_012
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_123
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_216
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_230
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_345
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_456
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_678
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_789
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Febe_879
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_113
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_123
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_234
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_291
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_345
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_415
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_582
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_753
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_891
LOG (apply-cmvn[5.5.49~4-396c7]:main():apply-cmvn.cc:162) Applied cepstral mean normalization to 80 utterances, errors on 0
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Grace_967
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_102
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_132
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_201
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_234
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_245
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_457
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_718
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_768
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_802
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:127) Hannah_932
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:135) Overall log-likelihood per frame is -80.5393 over 20772 frames.
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:137) Retried 0 out of 80 utterances.
LOG (gmm-align-compiled[5.5.49~4-396c7]:main():gmm-align-compiled.cc:139) Done 80, errors on 0
# Accounting: time=1 threads=1
# Ended (code 0) at Mon Oct  1 02:14:53 CST 2018, elapsed time 1 seconds
